well_id,name,sRANumber,location_id
818,210-DS,210-DS,478
819,210-E-A,210-E-A,384
820,210-G,210-G,659
821,210-J,210-J,258
822,210-S,210-S,333
823,210-S2,210-S2,336
824,"210E,210F","210E,210F",417
825,210M,210M,336
826,2119,2119,373
827,212,212,913
828,2132-B,2132-B,446
829,2132-BS2,2132-BS2,788
830,2132-S3,2132-S3,1224
831,214,214,1028
832,216,216,1111
833,216;218-S,216;218-S,1111
834,2178-AA,2178-AA,499
835,220,220,990
836,220 BA,220 BA,990
837,220-AF,220-AF,1180
838,2204 POD3,2204 POD3,1335
839,2231,2231,313
840,2253,2253,122
841,2286,2286,434
842,23,23,529
843,2301,2301,1181
844,2318-11269,2318-11269,540
845,233-S,233-S,414
846,235,235,318
847,235-A,235-A,1303
848,236,236,1095
849,237,237,696
850,2375,2375,958
851,2375-S-POD4,2375-S-POD4,792
852,2375-S2,2375-S2,1077
853,2376,2376,1072
854,2376-A,2376-A,737
855,2377 POD 3,2377 POD 3,1219
856,2377-S,2377-S,896
857,238,238,1051
858,238-A,238-A,773
859,239,239,783
860,240,240,1059
861,2402,2402,920
862,2403,2403,975
863,241-C,241-C,710
864,2410 POD 7,2410 POD 7,515
865,2412,2412,38
866,2413 POD2,2413 POD2,515
867,2414 POD 8,2414 POD 8,38
868,2414-S4,2414-S4,1063
869,2415,2415,728
870,2416,2416,1171
871,2417 POD 2,2417 POD 2,12
872,2418,2418,1212
873,2419,2419,1218
874,242 POD7,242 POD7,564
875,242-S,242-S,754
876,242-S2,242-S2,753
877,242-S3,242-S3,751
878,242-S4,242-S4,719
879,2420,2420,277
880,2420-S,2420-S,853
881,2423,2423,302
882,2423 POD 3,2423 POD 3,472
883,2424,2424,739
884,2427,2427,1162
885,243;270,243;270,731
886,2456,2456,94
887,2456-S2,2456-S2,1079
888,2456-S3,2456-S3,1251
889,2456-S4,2456-S4,1338
890,2458,2458,1052
891,246,246,814
892,246-S2,246-S2,910
893,246-S3,246-S3,1263
894,2460,2460,852
895,2461,2461,132
896,2461 B,2461 B,335
897,2463,2463,758
898,2464,2464,180
899,2466,2466,362
900,2467 POD 3,2467 POD 3,803
901,2470-S,2470-S,265
902,2471;2456-S5,2471;2456-S5,1032
903,2472,2472,679
904,2473,2473,798
905,248-S,248-S,854
906,248-S4,248-S4,787
907,2480,2480,1168
908,2511,2511,563
909,252,252,21
910,2543,2543,746
911,2544,2544,706
912,2544-S2,2544-S2,1114
913,2544-S3,2544-S3,1174
914,2547,2547,811
915,2548,2548,221
916,255,255,1209
917,2555,2555,1296
918,2556,2556,90
919,2556-S,2556-S,95
920,2558,2558,1029
921,2589,2589,410
922,259,259,219
923,2594,2594,902
924,2597,2597,1056
925,2598,2598,1154
926,2598-A,2598-A,1013
927,2599,2599,1017
928,259;564,259;564,219
929,2601,2601,903
930,2601-B,2601-B,959
931,2602,2602,1221
932,2604,2604,931
933,265,265,304
934,265-BS,265-BS,954
935,2679,2679,1341
936,2679-S,2679-S,1117
937,268,268,1149
938,268-A,268-A,887
939,2684,2684,1288
940,2684 POD2,2684 POD2,394
941,2684-BA,2684-BA,882
942,2684-BE,2684-BE,1188
943,2684-BF,2684-BF,432
944,2684-BP,2684-BP,443
945,2684-E,2684-E,1306
946,2684-HA-HB,2684-HA-HB,550
947,2684-HC,2684-HC,471
948,2684-HE,2684-HE,431
949,2684-HEA,2684-HEA,467
950,2684-S,2684-S,928
951,2685,2685,235
952,271,271,292
953,271-S2,271-S2,171
954,271-S3,271-S3,259
955,2755,2755,816
956,2755-A,2755-A,1321
957,2756,2756,1260
958,276,276,216
959,"276,4222","276,4222",109
960,2767,2767,929
961,2768,2768,763
962,2769,2769,15
963,2769-S,2769-S,1040
964,276;4222,276;4222,109
965,2770,2770,764
966,279,279,1006
967,281,281,411
968,2819,2819,661
969,283,283,140
970,283-S,283-S,140
971,283-S2,283-S2,722
972,2832,2832,498
973,29,29,1044
974,291-S2,291-S2,1261
975,291-S3,291-S3,1297
976,292,292,761
977,2925-A,2925-A,683
978,2930;5077,2930;5077,793
979,294,294,864
980,297,297,730
981,297-S,297-S,1352
982,297-S2,297-S2,825
983,297-S3,297-S3,836
984,300,300,1001
985,301,301,223
986,302,302,455
987,3021,3021,1292
988,3021-S,3021-S,796
989,303,303,898
990,304,304,463
991,305,305,1157
992,307 POD 3,307 POD 3,501
993,307 POD 4,307 POD 4,360
994,307-POD2,307-POD2,166
995,308,308,1021
996,"308,309 AS2","308,309 AS2",305
997,308-309-A,308-309-A,133
998,308-309A,308-309A,78
999,3081,3081,712
1000,311,311,750
1001,3121,3121,195
1002,3123,3123,445
1003,3125-S2,3125-S2,442
1004,3127,3127,1049
1005,3128,3128,172
1006,3128-S,3128-S,1076
1007,313,313,801
1008,3131-S,3131-S,196
1009,3131-S2,3131-S2,196
1010,3132,3132,215
1011,3133-S,3133-S,388
1012,3134,3134,1353
1013,3136,3136,215
1014,3137,3137,806
1015,3169,3169,838
1016,316;317,316;317,544
1017,318,318,582
1018,3181,3181,118
1019,3181-S2,3181-S2,769
1020,3181-S4,3181-S4,1141
1021,3181-S5,3181-S5,968
1022,3181-S8,3181-S8,533
1023,319,319,749
1024,319-S,319-S,873
1025,3194,3194,1164
1026,320,320,969
1027,"320,321-S","320,321-S",231
1028,3200,3200,329
1029,3200 POD 8,3200 POD 8,1225
1030,3200 POD 9,3200 POD 9,329
1031,3200-S-5,3200-S-5,331
1032,3200-S5,3200-S5,129
1033,3200-S6,3200-S6,232
1034,3200S6,3200S6,232
1035,3202 S-5,3202 S-5,508
1036,3202-S3,3202-S3,502
1037,3219 POD2,3219 POD2,453
1038,326,326,940
1039,329,329,249
1040,33-S,33-S,1069
1041,330,330,273
1042,3312,3312,538
1043,333,333,1197
1044,335,335,301
1045,3356,3356,1271
1046,3356-A,3356-A,1018
1047,3361,3361,447
1048,3361-S,3361-S,447
1049,337,337,87
1050,3378,3378,1039
1051,338 & 828,338 & 828,568
1052,3381,3381,351
1053,3381-A,3381-A,593
1054,3381-B,3381-B,879
1055,339-B,339-B,1177
1056,3412,3412,523
1057,342,342,1237
1058,348,348,851
1059,34;36,34;36,355
1060,34;46,34;46,355
1061,352,352,18
1062,353,353,1279
1063,3556,3556,966
1064,356,356,624
1065,3566,3566,520
1066,3566-10414,3566-10414,662
1067,3567,3567,650
1068,358,358,552
1069,3584,3584,185
1070,361,361,182
1071,3636,3636,632
1072,364,364,1112
1073,3679,3679,357
1074,3680,3680,884
1075,3681A:12162,3681A:12162,317
1076,370,370,919
1077,371,371,1066
1078,371-S,371-S,524
1079,376-A,376-A,165
1080,376-AS,376-AS,821
1081,378,378,820
1082,379,379,878
1083,379-S,379-S,233
1084,379-S2,379-S2,17
1085,379-S3,379-S3,755
1086,38,38,674
1087,380,380,1280
1088,3801,3801,987
1089,3801 A,3801 A,987
1090,381,381,1167
1091,3812 POD2,3812 POD2,427
1092,382,382,167
1093,3832,3832,1254
1094,3834,3834,781
1095,3838,3838,668
1096,3838-S,3838-S,976
1097,3843-S,3843-S,927
1098,3843-S2,3843-S2,141
1099,3844,3844,735
1100,3847,3847,695
1101,385,385,217
1102,386;387,386;387,1262
1103,388,388,1140
1104,38A,38A,23
1105,39,39,671
1106,39-AB,39-AB,505
1107,39-AEA,39-AEA,671
1108,390,390,756
1109,391-POD,391-POD,316
1110,391-POD4,391-POD4,316
1111,391-S-2,391-S-2,327
1112,394,394,610
1113,394;800,394;800,610
1114,3963 POD 5,3963 POD 5,527
1115,3963 POD 6,3963 POD 6,568
1116,3965-S,3965-S,1264
1117,397,397,850
1118,3979,3979,947
1119,3993,3993,1151
1120,3997,3997,744
1121,3998,3998,984
1122,3998-S,3998-S,967
1123,3;389,3;389,1145
1124,40,40,1094
1125,401,401,289
1126,403,403,1287
1127,4033 POD 10,4033 POD 10,781
1128,4033-S,4033-S,953
1129,4033-S3,4033-S3,943
1130,4033-S6,4033-S6,1315
1131,404,404,1115
1132,404 POD9,404 POD9,395
1133,404-S,404-S,1173
1134,404-S2,404-S2,1148
1135,404-S5,404-S5,694
1136,404-S6,404-S6,922
1137,406-AA,406-AA,699
1138,406-AAS,406-AAS,699
1139,406-B-B,406-B-B,333
1140,406-BA,406-BA,397
1141,406-BC,406-BC,397
1142,407,407,151
1143,407-A,407-A,404
1144,407-S,407-S,404
1145,407AC 407AD,407AC 407AD,192
1146,410,410,1265
1147,410-S,410-S,14
1148,411,411,826
1149,4122,4122,578
1150,4144,4144,654
1151,416,416,944
1152,419,419,469
1153,420,420,1247
1154,420-POD7,420-POD7,175
1155,420-S,420-S,752
1156,420-S4,420-S4,702
1157,420-S5,420-S5,844
1158,4222,4222,109
1159,4222-POD3,4222-POD3,283
1160,423,423,839
1161,423-S,423-S,839
1162,4233,4233,956
1163,4233-A,4233-A,740
1164,4233-S,4233-S,952
1165,4233-S2,4233-S2,123
1166,4238-S2,4238-S2,407
1167,4239,4239,778
1168,4239-S,4239-S,1048
1169,4239-S4,4239-S4,1131
1170,4239-S5,4239-S5,1316
1171,4239-S6,4239-S6,1266
1172,4244,4244,892
1173,4244-S,4244-S,1199
1174,429,429,775
1175,431,431,831
1176,4327,4327,465
1177,4332,4332,945
1178,4337,4337,1327
1179,434,434,143
1180,4357,4357,780
1181,4383,4383,454
1182,4397,4397,666
1183,443-AB,443-AB,1150
1184,4478,4478,614
1185,448 POD3,448 POD3,152
1186,45,45,957
1187,450,450,817
1188,4526,4526,494
1189,4527,4527,658
1190,454,454,425
1191,4553,4553,670
1192,456-S-3,456-S-3,209
1193,456-S2,456-S2,209
1194,4574,4574,372
1195,4574-POD2,4574-POD2,372
1196,4574-POD3,4574-POD3,372
1197,458,458,843
1198,459;1817,459;1817,894
1199,462,462,1331
1200,4630,4630,1018
1201,465,465,567
1202,465 POD 3,465 POD 3,573
1203,4658;1395,4658;1395,510
1204,4663,4663,782
1205,4663 POD 12,4663 POD 12,1194
1206,4663-POD10,4663-POD10,280
1207,4663-POD11,4663-POD11,286
1208,4663-S,4663-S,1003
1209,4663-S2,4663-S2,786
1210,4663-S5,4663-S5,785
1211,4663-S6,4663-S6,824
1212,4671,4671,101
1213,4688,4688,1249
1214,4691,4691,847
1215,47,47,998
1216,47-B-A-B,47-B-A-B,517
1217,4739,4739,768
1218,474,474,777
1219,4756,4756,985
1220,475;7739,475;7739,1189
1221,476,476,260
1222,476-A,476-A,122
1223,478;669,478;669,936
1224,480,480,713
1225,489,489,145
1226,489-S2,489-S2,776
1227,489-S3,489-S3,574
1228,491,491,1081
1229,491-S2,491-S2,997
1230,4931,4931,1024
1231,4931-S,4931-S,668
1232,494,494,1147
1233,495,495,315
1234,496,496,225
1235,4969,4969,191
1236,497,497,1202
1237,497-S,497-S,1276
1238,4973,4973,314
1239,4987,4987,914
1240,4991,4991,86
1241,5022 POD 12,5022 POD 12,507
1242,5022 POD13,5022 POD13,1041
1243,5022-X10,5022-X10,183
1244,5022-X9,5022-X9,229
1245,5025,5025,939
1246,5025-S,5025-S,382
1247,5032,5032,120
1248,5035,5035,964
1249,504,504,354
1250,505-S,505-S,705
1251,505-S3,505-S3,693
1252,505-S4,505-S4,1031
1253,5078 POD2,5078 POD2,601
1254,510,510,935
1255,5104,5104,791
1256,511,511,120
1257,5110,5110,1108
1258,512,512,977
1259,5152,5152,1027
1260,5154,5154,616
1261,516pod-2,516pod-2,311
1262,519,519,995
1263,52-B,52-B,1014
1264,5233,5233,481
1265,525,525,414
1266,526 POD2,526 POD2,994
1267,531,531,103
1268,531-S2,531-S2,103
1269,534,534,548
1270,5344,5344,482
1271,535;536,535;536,1133
1272,5399,5399,1010
1273,5417,5417,54
1274,544,544,111
1275,544-S,544-S,111
1276,545,545,992
1277,546,546,314
1278,55-B,55-B,1240
1279,552,552,272
1280,552-S,552-S,272
1281,554,554,842
1282,5560,5560,238
1283,5579,5579,934
1284,558,558,1105
1285,5581,5581,755
1286,560,560,1256
1287,5613,5613,416
1288,561;562,561;562,119
1289,563,563,1267
1290,574,574,950
1291,575,575,1156
1292,575-A,575-A,909
1293,578,578,835
1294,579,579,1268
1295,57;78,57;78,224
1296,583A POD3,583A POD3,392
1297,584,584,210
1298,585,585,408
1299,589,589,1175
1300,59,59,291
1301,59-A,59-A,930
1302,59-AS,59-AS,810
1303,59-S6,59-S6,479
1304,5914,5914,578
1305,592,592,310
1306,593; 594,593; 594,1343
1307,5959,5959,629
1308,598,598,925
1309,600,600,393
1310,600-S,600-S,790
1311,6027,6027,440
1312,603,603,1270
1313,604,604,1227
1314,6114,6114,525
1315,612;613,612;613,526
1316,614,614,470
1317,614-B,614-B,470
1318,617,617,289
1319,617 POD 3,617 POD 3,387
1320,6219,6219,823
1321,623;93,623;93,757
1322,628,628,561
1323,62;59-S2,62;59-S2,982
1324,6306,6306,642
1325,633,633,874
1326,633-A,633-A,148
1327,633-A;633-AS,633-A;633-AS,148
1328,636,636,1291
1329,637 POD4,637 POD4,545
1330,6388,6388,240
1331,640,640,461
1332,6404,6404,1187
1333,642,642,673
1334,646,646,1110
1335,646-S,646-S,973
1336,648;652;653,648;652;653,708
1337,657,657,1334
1338,657-S,657-S,720
1339,659,659,1310
1340,661,661,1087
1341,662-A,662-A,1205
1342,664,664,37
1343,664-A,664-A,606
1344,664-AA,664-AA,37
1345,666,666,1057
1346,668-S,668-S,682
1347,67,67,858
1348,671,671,918
1349,6736,6736,617
1350,676,676,912
1351,678;449,678;449,682
1352,679,679,257
1353,680;684;640,680;684;640,635
1354,6854,6854,648
